tree_id,legal_status,species,address,site_order,site_info,plant_type,care_taker,care_assistant,plant_date,dbh,plot_size,permit_notes,x_coordinate,y_coordinate,latitude,longitude,location
45869,Permitted Site,Tree(s) ::,,89,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
44891,Permitted Site,Tree(s) ::,,125,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
30482,Permitted Site,Tree(s) ::,,2,Sidewalk: Curb side : Cutout,Tree,Private,,1956-09-05 12:00:00.000000 UTC,,,Permit Number 147,,,,,
34325,Permitted Site,Jacaranda mimosifolia :: Jacaranda,,1,Sidewalk: Curb side : Cutout,Tree,Private,,1997-07-14 12:00:00.000000 UTC,,,Permit Number 38095,6011565.6617548456,2101164.3321543303,37.750048765949913,-122.40281462336895,"(37.750048765949906, -122.40281462336897)"
97356,Permitted Site,Tree(s) ::,,6,Unaccepted Street : Yard,Tree,Private,,,,,,,,,,
46025,Permitted Site,Tree(s) ::,,212,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
48081,Permitted Site,Tree(s) ::,,245,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
97357,Permitted Site,Tree(s) ::,,7,Unaccepted Street : Yard,Tree,Private,,,,,,,,,,
45923,Permitted Site,Tree(s) ::,,60,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
48124,Permitted Site,Tree(s) ::,,292,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
35195,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,,9,Sidewalk: Curb side : Cutout,Tree,Private,,1998-02-10 12:00:00.000000 UTC,,,Permit Number 38712,,,,,
36645,Permitted Site,Robinia x ambigua :: Locust,,9,Sidewalk: Curb side : Cutout,Tree,Private,,1998-05-20 12:00:00.000000 UTC,,,Permit Number 39461,,,,,
36652,Permitted Site,Tree(s) ::,,11,Sidewalk: Curb side : Cutout,Tree,Private,,1998-05-20 12:00:00.000000 UTC,,,Permit Number 39461,,,,,
44638,Permitted Site,Tree(s) ::,,166,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
45952,Permitted Site,Tree(s) ::,,149,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
65939,Permitted Site,Tree(s) ::,,1,Sidewalk: Curb side : Cutout,Tree,Private,,1990-06-04 12:00:00.000000 UTC,,,Permit Number 28960,,,,,
45944,Permitted Site,Tree(s) ::,,133,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
44927,Permitted Site,Tree(s) ::,,200,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
44878,Permitted Site,Tree(s) ::,,151,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
48338,Permitted Site,Tree(s) ::,,148,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
44975,Permitted Site,Tree(s) ::,,47,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
45915,Permitted Site,Tree(s) ::,,61,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
